,departure.iataCode,arrival.iataCode,airline.name,flight.number,delay_total_min,departure.month,flight_duration_min,delay_true
3396,gru,cgr,south african airways,2345,23,10,55,1
3397,gru,cgr,tap air portugal,4125,23,10,55,1
3398,gru,cgr,air europa,2691,23,10,55,1
3399,gru,cgr,gol,1496,23,10,55,1
3400,gru,cgr,aeromexico,8510,24,10,50,1
3401,gru,cgr,delta air lines,6177,24,10,50,1
3402,gru,cgr,jet linx aviation,5552,24,10,50,1
3403,gru,cgr,qatar airways,8413,24,10,50,1
3404,gru,cgr,delta air lines,6278,24,10,50,1
3405,gru,cgr,qatar airways,5233,24,10,50,1
3406,gru,cgr,latam airlines,3128,24,10,50,1
3407,gig,cgr,gol,9082,23,10,85,1
3408,vcp,cgr,azul,2700,33,11,35,1
3409,vcp,cgr,azul,4877,24,11,35,1
3410,bsb,cgr,latam airlines,3806,26,11,40,1
3411,gru,cgr,air france,1965,23,11,55,1
3412,gru,cgr,aerolineas argentinas,7632,23,11,55,1
3413,gru,cgr,emirates,3725,23,11,55,1
3414,gru,cgr,ethiopian airlines,4132,23,11,55,1
3415,gru,cgr,klm,9378,23,11,55,1
3416,gru,cgr,south african airways,2345,23,11,55,1
3417,gru,cgr,tap air portugal,4125,23,11,55,1
3418,gru,cgr,air europa,2691,23,11,55,1
3419,gru,cgr,gol,1496,23,11,55,1
3420,gru,cgr,aeromexico,8510,23,12,50,1
3421,gru,cgr,delta air lines,6177,23,12,50,1
3422,gru,cgr,iberia,7031,23,12,50,1
3423,gru,cgr,qatar airways,5118,23,12,50,1
3424,gru,cgr,latam airlines,3128,23,12,50,1
3425,bsb,cgr,latam airlines,3718,23,12,45,1
3426,gru,cgr,air france,1965,23,12,60,1
3427,gru,cgr,aerolineas argentinas,7632,23,12,60,1
3428,gru,cgr,sa avianca,4677,23,12,60,1
3429,gru,cgr,emirates,3725,23,12,60,1
3430,gru,cgr,ethiopian airlines,4132,23,12,60,1
3431,gru,cgr,klm,9338,23,12,60,1
3432,gru,cgr,tap air portugal,4057,23,12,60,1
3433,gru,cgr,air europa,2691,23,12,60,1
3434,gru,cgr,gol,1496,23,12,60,1
3435,vcp,cgr,azul,2713,25,12,40,1
3436,cgh,cgr,latam airlines,3178,23,12,45,1
3437,vcp,cgr,azul,4282,23,12,40,1
3438,gru,cgr,aeromexico,8510,23,12,50,1
3439,gru,cgr,delta air lines,6177,23,12,50,1
3440,gru,cgr,qatar airways,5118,23,12,50,1
3441,gru,cgr,iberia,7031,23,12,50,1
3442,gru,cgr,latam airlines,3128,23,12,50,1
3443,cnf,aju,azul,9025,32,1,120,1
3444,gru,cgr,delta air lines,6175,22,2,45,1
3445,gru,cgr,jet linx aviation,5552,22,2,45,1
3446,gru,cgr,latam airlines,3126,22,2,45,1
3447,gru,cgr,american airlines,7701,22,2,55,1
3448,gru,cgr,sa avianca,4663,22,2,55,1
3449,gru,cgr,copa airlines,3586,22,2,55,1
3450,gru,cgr,emirates,3725,22,2,55,1
3451,gru,cgr,ethiopian airlines,4106,22,2,55,1
3452,gru,cgr,klm,9338,22,2,55,1
3453,gru,cgr,tap air portugal,4059,22,2,55,1
3454,gru,cgr,air france,1950,22,2,55,1
3455,gru,cgr,air europa,2691,22,2,55,1
3456,gru,cgr,gol,1414,22,2,55,1
3457,cgh,cgr,latam airlines,3178,29,2,45,1
3458,rec,fen,latam airlines,8908,24,3,160,1
3460,rec,fen,voepass,2370,24,3,160,1
3461,rec,fen,azul,2514,22,3,165,1
3462,vcp,cgr,azul,4282,22,3,40,1
3463,gru,cgr,delta air lines,6021,22,3,50,1
3464,gru,cgr,qatar airways,5113,22,3,50,1
3465,gru,cgr,delta air lines,7367,22,3,50,1
3466,gru,cgr,latam airlines,3130,22,3,50,1
3467,cgh,cgr,latam airlines,3178,22,3,45,1
3468,gru,cgr,air france,1965,22,3,60,1
3469,gru,cgr,aerolineas argentinas,7632,22,3,60,1
3470,gru,cgr,sa avianca,4677,22,3,60,1
3471,gru,cgr,emirates,3725,22,3,60,1
3472,gru,cgr,ethiopian airlines,4132,22,3,60,1
3473,gru,cgr,klm,9338,22,3,60,1
3474,gru,cgr,tap air portugal,4102,22,3,60,1
3475,gru,cgr,air europa,2691,22,3,60,1
3476,gru,cgr,gol,1496,22,3,60,1
3477,vcp,cgr,azul,4282,22,3,40,1
3478,rec,fen,azul,9350,22,4,165,1
3479,rec,fen,tap air portugal,5262,22,4,165,1
3480,rec,fen,azul,4466,22,4,165,1
3481,rec,fen,tap air portugal,6021,27,4,165,1
3482,rec,fen,azul,4718,27,4,165,1
3483,gru,cgr,air france,1965,22,4,55,1
3484,gru,cgr,aerolineas argentinas,7632,22,4,55,1
3485,gru,cgr,emirates,3725,22,4,55,1
3486,gru,cgr,ethiopian airlines,4132,22,4,55,1
3487,gru,cgr,klm,9382,22,4,55,1
3488,gru,cgr,tap air portugal,4125,22,4,55,1
3489,gru,cgr,air europa,2691,22,4,55,1
3490,gru,cgr,gol,1496,22,4,55,1
3491,cgh,cgr,latam airlines,3176,22,4,50,1
3492,gru,cgr,american airlines,7700,22,4,55,1
